renderer,render_scale,scaling_mode,config,fps,gpu_ms,cpu_ms,draw_calls,primitives
mobile,0.75,5,all_systems_on,29.9,31.24,34.28,526,806125
mobile,0.75,5,jungle_patches_OFF,31.9,24.35,32.66,571,234492
mobile,0.75,5,grass_clutter_OFF,30.5,28.55,41.37,662,768559
mobile,0.75,5,lights_OFF,30.4,27.10,38.05,686,816159
mobile,0.75,5,characters_OFF,31.4,29.82,37.81,308,697555
mobile,0.75,5,sun_shadows_OFF,36.3,18.92,118.39,432,685208
