renderer,render_scale,scaling_mode,config,fps,gpu_ms,cpu_ms,draw_calls,primitives
CONTROL,1.00,0,control_t0,17.9,54.04,45.94,1013,829798
CONTROL,1.00,0,control_t1,18.5,50.74,58.04,968,813867
CONTROL,1.00,0,control_t2,19.0,49.93,66.09,1007,817770
CONTROL,1.00,0,control_t3,15.7,49.60,68.76,1243,843247
CONTROL,1.00,0,control_t4,19.0,50.38,36.58,1219,845029
CONTROL,1.00,0,control_t5,16.8,50.19,66.49,1268,848371
